Owner_id;id;High_value;Low_value;class_Description;sensor_Description
4362;228062;57;7;OG0447 ODK 0.031;Actual Air Flow OG0447
4375;228488;1788;238;OG0442 VAV5 bg;Actual Air Flow OG0442
4404;229148;2195;292;OG0415 VAV1 1e verd;Actual Air Flow OG0415
4416;229428;2003;267;OG018E VAV-R-7;Actual Air Flow OG018E
4419;229529;3642;485;OG0478 VAV8 1e verd;Actual Air Flow OG0478
4633;238947;670;89;OG0443 VAV4 atrium;Actual Air Flow OG0443
4693;244725;237;31;OG12B7 ODK 0.067;Actual Air Flow OG12B7
4697;244974;97;13;OG1277 ODK 0.075;Actual Air Flow OG1277
4701;245106;60;8;OG1279 ODK 0.081;Actual Air Flow OG1279
4720;246314;0;0;OG1291 0.087;Actual Air Flow OG1291
4723;246528;0;0;OG1294 0.087;Actual Air Flow OG1294
4726;246742;0;0;OG129B 0.087;Actual Air Flow OG129B
4729;246956;0;0;OG1227 0.087;Actual Air Flow OG1227
4731;247026;0;0;OG125F 0.087;Actual Air Flow OG125F
4763;248465;158;21;OG1231 0.052;Actual Air Flow OG1231
4768;248745;132;17;OG1233 0.052;Actual Air Flow OG1233
4773;249021;46;6;OG11F6 0.067;Actual Air Flow OG11F6
4793;252231;0;0;OG0187 ODK 1.103;Actual Air Flow OG0187
4800;252695;0;0;OG0170 ODK 1.101;Actual Air Flow OG0170
4805;252980;25;3;OG043D ODK 1.119;Actual Air Flow OG043D
4810;253237;32;4;OG045D ODK 1.062;Actual Air Flow OG045D
4817;253622;1487;198;OG047B VAV-R-3;Actual Air Flow OG047B
4820;253747;2251;300;OG124C VAV6 (Rest) 1e verd;Actual Air Flow OG124C
4851;256306;0;0;OG128B 0.087;Actual Air Flow OG128B
4855;256442;52;6;OG120F 0.081;Actual Air Flow OG120F
4859;256578;0;0;OG12C6 0.087;Actual Air Flow OG12C6
4862;256675;51;6;OG11FE 0.081;Actual Air Flow OG11FE
4867;256955;259;34;OG0424 ODK 0.097;Actual Air Flow OG0424
4872;257341;15;2;OG0185 ODK 0.035;Actual Air Flow OG0185
4877;257741;725;96;OG12AF VAV10 bg;Actual Air Flow OG12AF
4904;258920;1174;156;OG0179 R-Kelder;Actual Air Flow OG0179
5072;270921;38;5;OG1288 0.073;Actual Air Flow OG1288
5078;271232;52;7;OG11EE 0.075;Actual Air Flow OG11EE
5084;271539;56;7;OG11FA 0.067;Actual Air Flow OG11FA
5086;271609;0;0;OG11FC 0.075;Actual Air Flow OG11FC
5091;271776;141;18;OG11F0 0.052;Actual Air Flow OG11F0
5094;271877;96;12;OG11F9 0.073;Actual Air Flow OG11F9
5104;272199;93;12;OG12BA ODK 0.073;Actual Air Flow OG12BA
